Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,68.058250,69.845802,68.058250,68.172470,68.172470,2551207
2019-08-02,68.043976,69.300400,67.238724,67.609940,67.609940,2696890
2019-08-05,66.359222,66.816109,64.154770,65.194176,65.194176,2844324
2019-08-06,65.793831,67.021706,65.773842,66.584808,66.584808,2261241
2019-08-07,73.306679,76.733292,69.834381,73.752144,73.752144,6237412
2019-08-08,71.173615,74.240433,70.334091,73.335236,73.335236,7302020
2019-08-09,74.723015,74.842949,70.973732,72.661339,72.661339,3456124
2019-08-12,72.775558,72.775558,68.994858,69.968590,69.968590,3935898
2019-08-13,69.260422,71.304970,68.252426,68.412338,68.412338,4494467
2019-08-14,67.407196,68.729301,66.687607,68.635063,68.635063,2692688
2019-08-15,68.526558,70.391205,67.961166,69.960022,69.960022,2918217
2019-08-16,70.234154,71.482010,69.968590,71.150772,71.150772,2092095
2019-08-19,72.161621,72.161621,69.797256,71.327812,71.327812,3510405
2019-08-20,71.236435,72.609940,70.802399,72.244431,72.244431,2882146
2019-08-21,72.986862,74.351799,72.652771,73.977730,73.977730,3668345
2019-08-22,74.154770,74.740150,73.343803,74.431755,74.431755,2444746
2019-08-23,73.994858,75.071388,72.961166,73.066818,73.066818,2919267
2019-08-26,74.051971,74.089088,71.830383,72.812675,72.812675,3606009
2019-08-27,73.443748,74.111938,71.933182,72.264420,72.264420,3041487
2019-08-28,72.204453,72.547119,71.116508,72.230156,72.230156,2037464
2019-08-29,72.678467,73.175331,71.681892,72.604225,72.604225,2228673
2019-08-30,73.195320,73.503716,71.993149,72.712738,72.712738,2525993
2019-09-03,72.167336,73.743576,71.950317,72.612793,72.612793,3465929
2019-09-04,73.101082,73.478012,72.270134,72.841232,72.841232,1762206
2019-09-05,73.603653,74.069099,68.563675,69.928612,69.928612,5284518
2019-09-06,69.960022,70.859512,69.423187,69.900055,69.900055,2372605
2019-09-09,70.211311,70.211311,67.164474,67.675613,67.675613,2479066
2019-09-10,67.258713,67.798401,65.656769,65.939461,65.939461,2974949
2019-09-11,65.908051,67.435753,65.157051,65.459740,65.459740,2383111
2019-09-12,65.719589,67.004570,65.642487,65.665337,65.665337,1769561
2019-09-13,65.231293,65.676758,64.825813,64.931465,64.931465,1746097
2019-09-16,64.471733,65.585381,64.197601,65.456879,65.456879,1990537
2019-09-17,66.399200,67.984009,65.968018,67.558540,67.558540,3012771
2019-09-18,67.872643,67.872643,65.451172,66.604797,66.604797,2919968
2019-09-19,66.579102,67.258713,66.173615,66.536263,66.536263,2599184
2019-09-20,67.033127,67.158768,65.830956,65.948029,65.948029,3934847
2019-09-23,66.127930,66.778984,65.591087,66.373505,66.373505,2424084
2019-09-24,66.673332,67.552826,63.646488,64.120506,64.120506,4642952
2019-09-25,64.434608,65.285553,60.057110,62.961166,62.961166,7050927
2019-09-26,62.672756,63.723587,62.478584,63.358082,63.358082,3545775
2019-09-27,64.100517,64.363220,62.227299,62.844090,62.844090,4343531
2019-09-30,63.181038,63.303825,61.650486,62.241577,62.241577,5155294
2019-10-01,62.070248,63.201027,61.896057,62.364365,62.364365,2624749
