Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,39.554539,40.374073,39.111935,40.074242,40.074242,3752743
2018-02-13,39.974300,41.119362,39.380356,41.047974,41.047974,4612484
2018-02-14,40.802399,42.946888,40.479725,42.758423,42.758423,6056009
2018-02-15,43.223873,43.260994,41.624786,42.327244,42.327244,3676750
2018-02-16,42.347229,42.872643,42.127357,42.572815,42.572815,1753101
2018-02-20,42.292976,43.289551,41.813251,42.784122,42.784122,2036413
2018-02-21,42.929752,44.120502,42.638493,43.183895,43.183895,2358247
2018-02-22,43.232437,43.575100,42.421474,43.058250,43.058250,2785841
2018-02-23,43.203884,44.086235,43.086807,43.972015,43.972015,2793896
2018-02-26,44.014851,44.126213,43.435181,43.469444,43.469444,2042717
2018-02-27,43.509422,43.620789,42.547115,42.575672,42.575672,3069153
2018-02-28,42.707024,43.572243,42.264420,42.521416,42.521416,2556810
2018-03-01,42.524273,43.360935,41.804684,42.512852,42.512852,3548927
2018-03-02,42.370075,43.637920,41.407768,43.555111,43.555111,1961120
2018-03-05,43.218163,44.077671,42.992577,44.000572,44.000572,2095947
2018-03-06,43.983437,44.414619,43.383781,44.331810,44.331810,1516016
2018-03-07,43.843517,44.945744,43.777840,44.794403,44.794403,1850107
2018-03-08,44.771561,45.117077,44.623074,44.945744,44.945744,1585706
2018-03-09,45.511135,45.973728,45.191319,45.919476,45.919476,2067231
2018-03-12,46.176472,46.324959,45.411194,46.276413,46.276413,3432310
2018-03-13,46.419189,46.713306,45.374073,45.516850,45.516850,2305016
2018-03-14,45.545403,46.687607,45.545403,46.313534,46.313534,2444046
2018-03-15,46.276413,47.584236,46.276413,47.410049,47.410049,2759926
2018-03-16,47.412907,47.572815,46.853226,47.010281,47.010281,2484319
2018-03-19,46.707596,46.973160,45.411194,45.979439,45.979439,2399220
2018-03-20,46.053684,47.133068,46.053684,46.996002,46.996002,4791787
2018-03-21,47.312965,47.521416,46.010853,46.404911,46.404911,3165808
2018-03-22,45.805256,46.299259,45.017132,45.202740,45.202740,3233046
2018-03-23,45.199886,46.176472,44.985722,45.237007,45.237007,2799149
2018-03-26,45.928040,46.761848,45.545403,46.681896,46.681896,2751521
2018-03-27,47.038834,47.255856,44.466019,44.851513,44.851513,3046740
2018-03-28,44.697315,44.948601,43.723587,44.006283,44.006283,4215357
2018-03-29,44.406055,45.097088,43.966305,44.654484,44.654484,2750471
2018-04-02,44.251858,44.828671,42.747002,43.109653,43.109653,3353515
2018-04-03,43.298115,44.320389,42.761280,43.169617,43.169617,2482568
2018-04-04,42.552826,43.520844,42.392918,43.398060,43.398060,2828215
2018-04-05,43.954884,44.131924,43.269562,43.792118,43.792118,2519339
2018-04-06,43.309536,44.014851,42.487148,42.898342,42.898342,3281374
2018-04-09,43.221016,44.126213,43.129639,43.372360,43.372360,2912613
2018-04-10,44.397488,44.705883,43.740719,44.565964,44.565964,3630874
2018-04-11,44.211880,44.523129,43.869217,44.057682,44.057682,1478194
2018-04-12,44.431751,45.111366,44.383209,44.908623,44.908623,3323748
2018-04-13,45.057110,45.259853,44.254711,44.731583,44.731583,2473463
2018-04-16,44.905769,45.368362,44.488865,45.296974,45.296974,1506210
2018-04-17,45.756710,46.787552,45.645348,46.430611,46.430611,3179466
2018-04-18,46.721874,47.035980,45.805256,46.856083,46.856083,1929952
2018-04-19,46.656197,47.127357,46.404911,46.973160,46.973160,1651543
2018-04-20,47.210167,47.424328,46.113647,46.202171,46.202171,1843103
2018-04-23,46.641918,46.973160,45.845230,46.133636,46.133636,2183147
2018-04-24,46.353512,46.858936,44.531696,44.971443,44.971443,2047970
2018-04-25,44.931469,45.474014,44.166191,44.954311,44.954311,1397648
2018-04-26,45.225586,46.216450,45.225586,45.822388,45.822388,2285405
2018-04-27,46.127926,46.304970,45.068531,45.411194,45.411194,1314651
2018-04-30,45.422615,46.733295,45.051399,46.299259,46.299259,2693738
2018-05-01,46.147915,46.147915,37.435753,38.072529,38.072529,19456762
2018-05-02,37.978298,38.672188,36.836094,37.301540,37.301540,12207972
2018-05-03,37.298687,38.121075,37.298687,38.015419,38.015419,5836083
2018-05-04,37.724159,38.252426,36.778984,37.812679,37.812679,5160897
2018-05-07,38.006851,39.246143,37.838379,38.797829,38.797829,4436334
2018-05-08,38.797829,39.548828,38.063965,39.374641,39.374641,5738027
2018-05-09,40.119930,40.119930,37.764133,39.623074,39.623074,8317600
2018-05-10,40.819530,41.998859,40.139919,40.679611,40.679611,8680758
2018-05-11,40.833809,42.689892,40.833809,42.335808,42.335808,7357002
2018-05-14,42.315819,42.866932,41.025127,41.036552,41.036552,4813849
2018-05-15,40.628212,41.379211,40.548260,41.324959,41.324959,3541923
2018-05-16,41.404911,41.739006,41.139351,41.444889,41.444889,1689015
2018-05-17,41.245003,42.404339,41.245003,41.707596,41.707596,1900535
2018-05-18,41.656197,42.395775,41.264992,42.261566,42.261566,2190151
2018-05-21,42.507137,42.815533,41.956024,42.695602,42.695602,1746097
2018-05-22,42.578526,43.323814,42.370075,42.461452,42.461452,3334604
2018-05-23,42.230152,43.412334,41.690464,43.389492,43.389492,2844324
2018-05-24,43.363792,43.609367,43.149628,43.420902,43.420902,1906839
2018-05-25,43.489433,44.114792,43.263847,43.649342,43.649342,1758354
2018-05-29,43.352371,43.549400,42.895489,43.112507,43.112507,2958139
2018-05-30,43.723587,44.663052,43.409481,43.966305,43.966305,3444917
2018-05-31,43.937752,44.948601,43.897774,44.300400,44.300400,3542973
2018-06-01,44.762993,45.533981,44.680183,45.259853,45.259853,2606539
2018-06-04,45.419762,45.645348,44.737293,45.331238,45.331238,1408154
2018-06-05,45.359795,45.865219,45.336948,45.465446,45.465446,3178765
2018-06-06,45.474014,45.736721,45.122787,45.456882,45.456882,2352293
2018-06-07,45.688179,45.688179,44.243290,44.583096,44.583096,2731910
2018-06-08,44.691605,45.071388,44.360367,44.880070,44.880070,4131309
2018-06-11,45.573959,45.973728,44.811535,44.988579,44.988579,3608111
2018-06-12,45.011421,46.227871,45.011421,45.830956,45.830956,2402722
2018-06-13,46.067963,46.225014,45.331238,45.673901,45.673901,3013471
2018-06-14,45.639633,46.707596,45.619644,46.333523,46.333523,2578523
2018-06-15,46.296402,46.510567,45.485435,46.473446,46.473446,4809997
2018-06-18,46.062248,47.061680,45.922329,47.038834,47.038834,2504630
2018-06-19,46.262135,46.838947,45.790977,46.519131,46.519131,2708797
